,player_id,season,team_id,market_value,player_name,birthdate,height,main_position,national_team,foot,age,agent_name,assists,yellow_cards,red_cards,injury,player_app,goals,own_goals
0,108390,2015,631,35000000.0,Thibaut Courtois,1992-05-11,200.0,Goalkeeper,Belgium,left,31.0,Unknown,0.0,1.0,2.0,18.0,26.0,,
1,33873,2015,631,12000000.0,Asmir Begovic,1987-06-20,199.0,Goalkeeper,Bosnia,right,35.0,Unknown,0.0,,,0.0,22.0,,
2,16810,2015,631,250000.0,Marco Amelia,1982-04-02,190.0,Goalkeeper,Italy,right,41.0,Unknown,0.0,,,0.0,0.0,,
3,128898,2015,631,250000.0,Jamal Blackman,1993-10-27,199.0,Goalkeeper,England U21,right,29.0,Panthera Sports,0.0,,,0.0,0.0,,
4,157509,2015,631,17000000.0,Kurt Zouma,1994-10-27,190.0,Centre-Back,France,right,28.0,Unknown,0.0,1.0,0.0,15.0,14.0,2.0,
5,27511,2015,631,16000000.0,Gary Cahill,1985-12-19,193.0,Centre-Back,England,right,37.0,Unknown,0.0,3.0,0.0,1.0,30.0,3.0,
6,177476,2015,631,4500000.0,Nathan Ake,1995-02-18,180.0,Centre-Back,Netherlands,left,28.0,Wasserman,0.0,4.0,1.0,2.0,19.0,1.0,
7,136610,2015,631,3500000.0,Papy Djilobodji,1988-12-01,193.0,Centre-Back,Senegal,left,34.0,Unknown,0.0,,,6.0,22.0,,
8,3160,2015,631,3000000.0,John Terry,1980-12-07,187.0,Centre-Back,England,right,42.0,Unknown,1.0,4.0,1.0,8.0,28.0,1.0,1.0
9,148657,2015,631,3000000.0,Tomas Kalas,1993-05-15,184.0,Centre-Back,Czechia,right,30.0,Unknown,0.0,,,0.0,,,
10,157490,2015,631,3000000.0,Michael Hector,1992-07-19,193.0,Centre-Back,Jamaica,right,30.0,Unknown,0.0,,,0.0,,,
11,245893,2015,631,2500000.0,Matt Miazga,1995-07-19,193.0,Centre-Back,USA,right,27.0,Promoesport,0.0,1.0,0.0,0.0,2.0,,
12,303254,2015,631,,Fikayo Tomori,1997-12-19,185.0,Centre-Back,England,right,25.0,Unknown,0.0,,,0.0,1.0,,
13,316551,2015,631,,Jake Clarke Salter,1997-09-22,188.0,Centre-Back,England U21,left,25.0,Unknown,0.0,,,0.0,1.0,,
14,224884,2015,631,13000000.0,Abdul Rahman Baba,1994-07-02,179.0,Left-Back,Ghana,left,28.0,SPOCS Global Sports,2.0,1.0,0.0,0.0,38.0,,
15,57500,2015,631,20000000.0,Cesar Azpilicueta,1989-08-28,178.0,Right-Back,Spain,right,33.0,Unknown,4.0,8.0,0.0,0.0,34.0,2.0,
16,36827,2015,631,11000000.0,Branislav Ivanovic,1984-02-22,185.0,Right-Back,Serbia,right,39.0,Unknown,2.0,7.0,0.0,5.0,37.0,2.0,
17,236490,2015,631,,Ola Aina,1996-10-08,184.0,Right-Back,Nigeria,right,26.0,Unknown,0.0,,,0.0,0.0,,
18,74683,2015,631,38000000.0,Nemanja Matic,1988-08-01,194.0,Defensive Midfield,Serbia,left,34.0,Universal Twenty Two,3.0,9.0,0.0,0.0,28.0,2.0,
19,30739,2015,631,10000000.0,Mikel John Obi,1987-04-22,188.0,Defensive Midfield,Nigeria,right,36.0,Unknown,1.0,8.0,0.0,0.0,29.0,1.0,
20,8806,2015,631,45000000.0,Cesc Fabregas,1987-05-04,179.0,Central Midfield,Spain,right,36.0,Unknown,8.0,7.0,0.0,1.0,44.0,6.0,
21,54170,2015,631,15000000.0,Ramires,1987-03-24,179.0,Central Midfield,Brazil,right,36.0,Unknown,0.0,1.0,0.0,3.0,17.0,2.0,
22,202886,2015,631,5000000.0,Ruben Loftus Cheek,1996-01-23,191.0,Central Midfield,England,right,27.0,CAA Stellar,1.0,1.0,0.0,0.0,14.0,1.0,
23,236496,2015,631,,Charlie Colkett,1996-09-04,176.0,Central Midfield,England U20,left,26.0,GS Magna,0.0,,,0.0,0.0,,
24,91970,2015,631,25000000.0,Juan Cuadrado,1988-05-26,176.0,Right Midfield,Colombia,right,35.0,Andrei Martínez,4.0,3.0,0.0,0.0,35.0,5.0,
25,59866,2015,631,7500000.0,Victor Moses,1990-12-12,177.0,Right Midfield,Nigeria,right,32.0,ROOF,2.0,,,8.0,21.0,1.0,
26,85314,2015,631,35000000.0,Oscar,1991-09-09,179.0,Attacking Midfield,Brazil,right,31.0,Unknown,4.0,4.0,0.0,4.0,34.0,5.0,
27,176485,2015,631,3000000.0,Lucas Piazon,1994-01-20,182.0,Attacking Midfield,Brazil U23,right,29.0,P&P Sport ...,0.0,,,0.0,,,
28,258216,2015,631,,Kasey Palmer,1996-11-09,175.0,Attacking Midfield,Jamaica,right,26.0,Unknown,0.0,,,0.0,0.0,,
