player_id,player_name,birthdate,height,main_position,national_team,foot
148657.0,Tomas Kalas,5/15/1993,184.0,Centre-Back,Czechia,right
136610.0,Papy Djilobodji,12/1/1988,193.0,Centre-Back,Senegal,left
157509.0,Kurt Zouma,10/27/1994,190.0,Centre-Back,France,right
3160.0,John Terry,12/7/1980,187.0,Centre-Back,England,right
16810.0,Marco Amelia,4/2/1982,190.0,Goalkeeper,Italy,right
27511.0,Gary Cahill,12/19/1985,193.0,Centre-Back,England,right
33873.0,Asmir Begovic,6/20/1987,199.0,Goalkeeper,Bosnia,right
128898.0,Jamal Blackman,10/27/1993,199.0,Goalkeeper,England U21,right
108390.0,Thibaut Courtois,5/11/1992,200.0,Goalkeeper,Belgium,left
157490.0,Michael Hector,7/19/1992,193.0,Centre-Back,Jamaica,right
36827.0,Branislav Ivanovic,2/22/1984,185.0,Right-Back,Serbia,right
245893.0,Matt Miazga,7/19/1995,193.0,Centre-Back,USA,right
316551.0,Jake Clarke Salter,9/22/1997,188.0,Centre-Back,England U21,left
57500.0,Cesar Azpilicueta,8/28/1989,178.0,Right-Back,Spain,right
303254.0,Fikayo Tomori,12/19/1997,185.0,Centre-Back,England,right
224884.0,Abdul Rahman Baba,7/2/1994,179.0,Left-Back,Ghana,left
30739.0,Mikel John Obi,4/22/1987,188.0,Defensive Midfield,Nigeria,right
236490.0,Ola Aina,10/8/1996,184.0,Right-Back,Nigeria,right
74683.0,Nemanja Matic,8/1/1988,194.0,Defensive Midfield,Serbia,left
8806.0,Cesc Fabregas,5/4/1987,179.0,Central Midfield,Spain,right
85314.0,Oscar,9/9/1991,179.0,Attacking Midfield,Brazil,right
176485.0,Lucas Piazon,1/20/1994,182.0,Attacking Midfield,Brazil U23,right
202886.0,Ruben Loftus Cheek,1/23/1996,191.0,Central Midfield,England,right
91970.0,Juan Cuadrado,5/26/1988,176.0,Right Midfield,Colombia,right
54170.0,Ramires,3/24/1987,179.0,Central Midfield,Brazil,right
59866.0,Victor Moses,12/12/1990,177.0,Right Midfield,Nigeria,right
236496.0,Charlie Colkett,9/4/1996,176.0,Central Midfield,England U20,left
50202.0,Eden Hazard,1/7/1991,175.0,Left Winger,Belgium,right
52769.0,Willian,8/9/1988,175.0,Left Winger,Brazil,right
281404.0,Kenedy,2/8/1996,182.0,Left Winger,Brazil U23,left
258216.0,Kasey Palmer,11/9/1996,175.0,Attacking Midfield,Jamaica,right
65278.0,Pedro,7/28/1987,167.0,Right Winger,Spain,both
131996.0,Bertrand Traore,9/6/1995,181.0,Right Winger,Burkina Faso,left
210202.0,James Horsfield,11/30/1995,178.0,midfield,,right
44779.0,Diego Costa,10/7/1988,186.0,Centre-Forward,Spain,right
39152.0,Radamel Falcao,2/10/1986,177.0,Centre-Forward,Colombia,right
45121.0,Loic Remy,1/2/1987,185.0,Centre-Forward,France,right
37579.0,Alexandre Pato,9/2/1989,180.0,Centre-Forward,Brazil,right
183334.0,Patrick Bamford,9/5/1993,185.0,Centre-Forward,England,left
19948.0,Willy Caballero,9/28/1981,186.0,Goalkeeper,Argentina,right
40204.0,Joe Hart,4/19/1987,196.0,Goalkeeper,England,right
54781.0,Nicolas Otamendi,2/12/1988,183.0,Centre-Back,Argentina,right
331726.0,Tammy Abraham,10/2/1997,194.0,Centre-Forward,England,right
3120.0,Richard Wright,11/5/1977,190.0,Goalkeeper,England,right
9594.0,Vincent Kompany,4/10/1986,190.0,Centre-Back,Belgium,right
277114.0,Jason Denayer,6/28/1995,184.0,Centre-Back,Belgium,right
2963.0,Martin Demichelis,12/20/1980,184.0,Centre-Back,Argentina,right
277179.0,Angelino,1/4/1997,171.0,Left-Back,Spain U21,left
277723.0,Cameron Humphreys,8/22/1998,187.0,Centre-Back,England U19,right
7449.0,Gael Clichy,7/26/1985,176.0,Left-Back,France,left
258878.0,Tosin Adarabioyo,9/24/1997,196.0,Centre-Back,England U19,right
15956.0,Jesus Navas,11/21/1985,172.0,Right-Back,Spain,right
26764.0,Bacary Sagna,2/14/1983,176.0,Right-Back,France,right
46156.0,Aleksandar Kolarov,11/10/1985,187.0,Left-Back,Serbia,left
251876.0,Pablo Maffeo,7/12/1997,172.0,Right-Back,Spain U21,right
20007.0,Pablo Zabaleta,1/16/1985,176.0,Right-Back,Argentina,right
26267.0,Fernandinho,5/4/1985,179.0,Defensive Midfield,Brazil,right
51174.0,Fernando,7/25/1987,183.0,Defensive Midfield,Brazil U20,right
201570.0,George Glendon,5/3/1995,177.0,Defensive Midfield,England U17,right
261504.0,Aleix Garcia,6/28/1997,173.0,Central Midfield,Spain U21,right
50362.0,Fabian Delph,11/21/1989,174.0,Central Midfield,England,left
114365.0,Luke Brattan,3/8/1990,175.0,Defensive Midfield,Australia,right
88755.0,Kevin De Bruyne,6/28/1991,181.0,Attacking Midfield,Belgium,right
181498.0,George Evans,12/13/1994,184.0,Defensive Midfield,England U19,right
13091.0,Yaya Toure,5/13/1983,188.0,Central Midfield,Ivory Coast,right
